Configuration,Term,J,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Leading percentages,Reference
2s2.2p5,2P*,3/2,,0.0000,,0, 100                                                              ,L9088
2s2.2p5,2P*,1/2,,780.4240,,0.002, 100                                                              ,L9088
2s.2p6,2S,1/2,,217047.598,,0.09,  98                                                              ,L9088
2s2.2p4.(3P).3s,4P,5/2,,219130.7609,,0.0011, 100                                                              ,L9088
2s2.2p4.(3P).3s,4P,3/2,,219648.4248,,0.005, 100                                                              ,L9088
2s2.2p4.(3P).3s,4P,1/2,,219947.4453,,0.0011, 100                                                              ,L9088
2s2.2p4.(3P).3s,2P,3/2,,224087.0092,,0.0013, 100                                                              ,L9088
2s2.2p4.(3P).3s,2P,1/2,,224699.2716,,0.0014, 100                                                              ,L9088
2s2.2p4.(3P).3p,4P*,5/2,,246192.4130,,0.0014,  99                                                              ,L9088
2s2.2p4.(3P).3p,4P*,3/2,,246415.0144,,0.0011,  99                                                              ,L9088
2s2.2p4.(3P).3p,4P*,1/2,,246597.6805,,0.0012, 100                                                              ,L9088
2s2.2p4.(1D).3s,2D,5/2,,246394.1202,,0.0015, 100                                                              ,L9088
2s2.2p4.(1D).3s,2D,3/2,,246397.4810,,0.002, 100                                                              ,L9088
2s2.2p4.(3P).3p,4D*,7/2,,249108.6138,,0.0014, 100                                                              ,L9088
2s2.2p4.(3P).3p,4D*,5/2,,249445.9632,,0.0012,  98                                                              ,L9088
2s2.2p4.(3P).3p,4D*,3/2,,249695.5051,,0.0013,  99                                                              ,L9088
2s2.2p4.(3P).3p,4D*,1/2,,249839.6186,,0.0014, 100                                                              ,L9088
2s2.2p4.(3P).3p,2D*,5/2,,251011.1511,,0.0015,  99                                                              ,L9088
2s2.2p4.(3P).3p,2D*,3/2,,251522.0967,,0.0015,  99                                                              ,L9088
2s2.2p4.(3P).3p,2S*,1/2,,252798.4654,,0.002,  93                            :     6  2s2.2p4.(3P).3p    2P*   ,L9088
2s2.2p4.(3P).3p,4S*,3/2,,252953.5198,,0.0013,  99                                                              ,L9088
2s2.2p4.(3P).3p,2P*,3/2,,254164.9888,,0.0014,  92                            :     6  2s2.2p4.(1D).3p    2P*   ,L9088
2s2.2p4.(3P).3p,2P*,1/2,,254292.1683,,0.0015,  86                            :     7  2s2.2p4.(1D).3p    2P*   ,L9088
2s2.2p4.(1D).3p,2F*,5/2,,274364.5596,,0.002, 100                                                              ,L9088
2s2.2p4.(1D).3p,2F*,7/2,,274409.0830,,0.002, 100                                                              ,L9088
2s2.2p4.(1D).3p,2P*,3/2,,276276.8361,,0.002,  89                            :     5  2s2.2p4.(3P).3p    2P*   ,L9088
2s2.2p4.(1D).3p,2P*,1/2,,276511.800,,0.003,  89                            :     6  2s2.2p4.(3P).3p    2P*   ,L9088
2s2.2p4.(1S).3s,2S,1/2,,276677.1142,,0.003,  97                                                              ,L9088
2s2.2p4.(1D).3p,2D*,3/2,,277325.5757,,0.003, 100                                                              ,L9088
2s2.2p4.(1D).3p,2D*,5/2,,277344.2675,,0.002, 100                                                              ,L9088
2s2.2p4.(3P).3d,4D,7/2,,279137.6053,,0.003,  96                                                              ,L9088
2s2.2p4.(3P).3d,4D,5/2,,279218.6416,,0.002,  94                                                              ,L9088
2s2.2p4.(3P).3d,4D,3/2,,279324.8733,,0.002,  95                                                              ,L9088
2s2.2p4.(3P).3d,4D,1/2,,279422.869,,0.003,  97                                                              ,L9088
2s2.2p4.(3P).3d,4F,9/2,,280172.9854,,0.003, 100                                                              ,L9088
2s2.2p4.(3P).3d,4F,7/2,,280700.7426,,0.002,  52                            :    44  2s2.2p4.(3P).3d    2F    ,L9088
2s2.2p4.(3P).3d,4F,5/2,,280797.2387,,0.002,  72                            :    24  2s2.2p4.(3P).3d    2D    ,L9088
2s2.2p4.(3P).3d,4F,3/2,,280947.0768,,0.002,  63                            :    27  2s2.2p4.(3P).3d    4P    ,L9088
2s2.2p4.(3P).3d,2F,7/2,,280262.3163,,0.003,  55                            :    45  2s2.2p4.(3P).3d    4F    ,L9088
2s2.2p4.(3P).3d,2F,5/2,,281025.9326,,0.002,  67                            :    19  2s2.2p4.(3P).3d    4P    ,L9088
2s2.2p4.(3P).3d,2D,5/2,,280268.9453,,0.003,  58                            :    21  2s2.2p4.(3P).3d    2F    ,L9088
2s2.2p4.(3P).3d,2D,3/2,,280473.5550,,0.002,  68                            :    18  2s2.2p4.(3P).3d    4F    ,L9088
2s2.2p4.(3P).3d,4P,1/2,,280768.508,,0.002,  96                                                              ,L9088
2s2.2p4.(3P).3d,4P,3/2,,280989.5229,,0.002,  58                            :    21  2s2.2p4.(3P).3d    2D    ,L9088
2s2.2p4.(3P).3d,4P,5/2,,281171.3566,,0.002,  64                            :    12  2s2.2p4.(3P).3d    2D    ,L9088
2s2.2p4.(3P).3d,2P,1/2,,281332.521,,0.003,  96                                                              ,L9088
2s2.2p4.(3P).3d,2P,3/2,,281720.2755,,0.002,  88                            :     7  2s2.2p4.(3P).3d    2D    ,L9088
2s2.2p4.(3P).4s,4P,5/2,,281998.2635,,0.002,  90                            :    10  2s2.2p4.(3P).3d    4P    ,L9088
2s2.2p4.(3P).4s,4P,3/2,,282375.3049,,0.002,  91                            :     5  2s2.2p4.(3P).4s    2P    ,L9088
2s2.2p4.(3P).4s,4P,1/2,,282680.6284,,0.002,  97                                                              ,L9088
2s2.2p4.(3P).4s,2P,3/2,,283322.3319,,0.002,  93                            :     5  2s2.2p4.(3P).4s    4P    ,L9088
2s2.2p4.(3P).4s,2P,1/2,,283894.3965,,0.002,  98                                                              ,L9088
2s2.2p4.(3P).4p,4P*,5/2,,290371.9268,,0.002,  95                            :     5  2s2.2p4.(3P).4p    4D*   ,L9088
2s2.2p4.(3P).4p,4P*,3/2,,290583.1503,,0.002,  94                                                              ,L9088
2s2.2p4.(3P).4p,4P*,1/2,,290803.7989,,0.002,  97                                                              ,L9088
2s2.2p4.(3P).4p,4D*,7/2,,291202.0096,,0.003, 100                                                              ,L9088
2s2.2p4.(3P).4p,4D*,5/2,,291495.0176,,0.002,  80                            :    17  2s2.2p4.(3P).4p    2D*   ,L9088
2s2.2p4.(3P).4p,4D*,3/2,,291801.858,,0.003,  91                            :     5  2s2.2p4.(3P).4p    2D*   ,L9088
2s2.2p4.(3P).4p,4D*,1/2,,291968.116,,0.003,  98                                                              ,L9088
2s2.2p4.(3P).4p,2D*,5/2,,292033.1263,,0.003,  83                            :    15  2s2.2p4.(3P).4p    4D*   ,L9088
2s2.2p4.(3P).4p,2D*,3/2,,292451.7592,,0.002,  93                            :     6  2s2.2p4.(3P).4p    4D*   ,L9088
2s2.2p4.(3P).4p,2S*,1/2,,292546.687,,0.003,  95                                                              ,L9088
2s2.2p4.(3P).4p,4S*,3/2,,292651.298,,0.006,  96                                                              ,L9088
2s2.2p4.(3P).4p,2P*,3/2,,294086.4608,,0.002,  91                                                              ,L9088
2s2.2p4.(3P).4p,2P*,1/2,,294333.192,,0.003,  90                                                              ,L9088
2s2.2p4.(3P).4d,4D,7/2,,301801.0594,,0.003,  87                            :    11  2s2.2p4.(3P).4d    4F    ,L9088
2s2.2p4.(3P).4d,4D,5/2,,301855.6707,,0.003,  84                            :     8  2s2.2p4.(3P).4d    4P    ,L9088
2s2.2p4.(3P).4d,4D,3/2,,301947.9789,,0.003,  81                            :    13  2s2.2p4.(3P).4d    4P    ,L9088
2s2.2p4.(3P).4d,4D,1/2,,302057.2516,,0.003,  83                            :    11  2s2.2p4.(3P).4d    4P    ,L9088
2s2.2p4.(3P).4d,4F,9/2,,302192.9098,,0.003, 100                                                              ,L9088
2s2.2p4.(3P).4d,4F,7/2,,302750.7840,,0.003,  58                            :    30  2s2.2p4.(3P).4d    2F    ,L9088
2s2.2p4.(3P).4d,4F,5/2,,302839.2693,,0.003,  60                            :    24  2s2.2p4.(3P).4d    2D    ,L9088
2s2.2p4.(3P).4d,4F,3/2,,302961.0417,,0.003,  78                            :    15  2s2.2p4.(3P).4d    2P    ,L9088
2s2.2p4.(3P).4d,2F,7/2,,302247.7634,,0.003,  68                            :    31  2s2.2p4.(3P).4d    4F    ,L9088
2s2.2p4.(3P).4d,2F,5/2,,302890.5369,,0.003,  38                            :    25  2s2.2p4.(3P).5s    4P    ,L9088
2s2.2p4.(3P).4d,2D,5/2,,302307.7230,,0.003,  54                            :    23  2s2.2p4.(3P).4d    2F    ,L9088
2s2.2p4.(3P).4d,2D,3/2,,302425.8139,,0.003,  44                            :    31  2s2.2p4.(3P).4d    4P    ,L9088
2s2.2p4.(3P).4d,4P,1/2,,302475.5806,,0.003,  81                            :    13  2s2.2p4.(3P).4d    2P    ,L9088
2s2.2p4.(3P).4d,4P,3/2,,302816.9602,,0.003,  52                            :    24  2s2.2p4.(3P).4d    2D    ,L9088
2s2.2p4.(3P).4d,4P,5/2,,303071.8002,,0.003,  47                            :    30  2s2.2p4.(3P).4d    2F    ,L9088
2s2.2p4.(3P<2>).4f,2[4]*,9/2,,302829.0453,,0.004,  99                                                              ,L9088
2s2.2p4.(3P<2>).4f,2[4]*,7/2,,302831.176,,0.003,  96                                                              ,L9088
2s2.2p4.(3P).4d,2P,1/2,,302831.7640,,0.003,  78                            :    12  2s2.2p4.(3P).4d    4D    ,L9088
2s2.2p4.(3P).4d,2P,3/2,,303237.8943,,0.003,  57                            :    24  2s2.2p4.(3P).4d    2D    ,L9088
2s2.2p4.(3P<2>).4f,2[3]*,7/2,,302843.509,,0.004,  96                                                              ,L9088
2s2.2p4.(3P<2>).4f,2[3]*,5/2,,302844.085,,0.003,  99                                                              ,L9088
2s2.2p4.(3P<2>).4f,2[2]*,3/2,,302902.557,,0.004,  98                                                              ,L9088
2s2.2p4.(3P<2>).4f,2[2]*,5/2,,302903.635,,0.004,  98                                                              ,L9088
2s2.2p4.(3P<2>).4f,2[5]*,9/2,,302935.2919,,0.003, 100                                                              ,L9088
2s2.2p4.(3P<2>).4f,2[5]*,11/2,,302935.312,,0.004, 100                                                              ,L9088
2s2.2p4.(3P<2>).4f,2[1]*,1/2,,302988.859,,0.009, 100                                                              ,L9088
2s2.2p4.(3P<2>).4f,2[1]*,3/2,,302989.805,,0.004, 100                                                              ,L9088
2s2.2p4.(3P).5s,4P,5/2,,303279.8915,,0.003,  65                            :    24  2s2.2p4.(3P).4d    4P    ,L9088
2s2.2p4.(3P).5s,4P,3/2,,303518.1843,,0.003,  61                            :    29  2s2.2p4.(3P).5s    2P    ,L9088
2s2.2p4.(3P).5s,4P,1/2,,303928.0756,,0.003,  92                            :     7  2s2.2p4.(3P).5s    2P    ,L9088
2s2.2p4.(3P<1>).4f,2[2]*,3/2,,303508.458,,0.004,  98                                                              ,L9088
2s2.2p4.(3P<1>).4f,2[2]*,5/2,,303509.514,,0.003,  98                                                              ,L9088
2s2.2p4.(3P<1>).4f,2[4]*,9/2,,303527.7267,,0.003,  99                                                              ,L9088
2s2.2p4.(3P<1>).4f,2[4]*,7/2,,303528.5122,,0.003,  99                                                              ,L9088
2s2.2p4.(3P<1>).4f,2[3]*,7/2,,303599.9098,,0.003, 100                                                              ,L9088
2s2.2p4.(3P<1>).4f,2[3]*,5/2,,303600.498,,0.004, 100                                                              ,L9088
2s2.2p4.(3P<0>).4f,2[3]*,7/2,,303824.2119,,0.003,  99                                                              ,L9088
2s2.2p4.(3P<0>).4f,2[3]*,5/2,,303824.6705,,0.003,  99                                                              ,L9088
2s2.2p4.(3P).5s,2P,3/2,,303974.2630,,0.003,  64                            :    34  2s2.2p4.(3P).5s    4P    ,L9088
2s2.2p4.(3P).5s,2P,1/2,,304440.2089,,0.003,  92                            :     7  2s2.2p4.(3P).5s    4P    ,L9088
2s2.2p4.(1D).3d,2G,9/2,,305364.004,,0.003, 100                                                              ,L9088
2s2.2p4.(1D).3d,2G,7/2,,305365.116,,0.004, 100                                                              ,L9088
2s2.2p4.(1S).3p,2P*,3/2,,305398.5968,,0.003,  92                            :     5  2s2.2p4.(3P).5p    2P*   ,L9088
2s2.2p4.(1S).3p,2P*,1/2,,305408.498,,0.005,  93                                                              ,L9088
2s2.2p4.(1D).3d,2P,3/2,,305566.923,,0.003,  97                                                              ,L9088
2s2.2p4.(1D).3d,2P,1/2,,305582.249,,0.005,  97                                                              ,L9088
2s2.2p4.(1D).3d,2S,1/2,,306011.056,,0.003,  98                                                              ,L9088
2s2.2p4.(1D).3d,2D,5/2,,306243.4077,,0.003,  96                                                              ,L9088
2s2.2p4.(1D).3d,2D,3/2,,306262.755,,0.004,  96                                                              ,L9088
2s2.2p4.(1D).3d,2F,5/2,,306687.271,,0.003, 100                                                              ,L9088
2s2.2p4.(1D).3d,2F,7/2,,306687.654,,0.003, 100                                                              ,L9088
2s2.2p4.(3P).5p,4P*,5/2,,306899.2903,,0.003,  88                            :    11  2s2.2p4.(3P).5p    4D*   ,L9088
2s2.2p4.(3P).5p,4P*,3/2,,307069.8080,,0.003,  83                            :     9  2s2.2p4.(3P).5p    4S*   ,L9088
2s2.2p4.(3P).5p,4P*,1/2,,307309.4584,,0.003,  85                            :    10  2s2.2p4.(3P).5p    2S*   ,L9088
2s2.2p4.(3P).5p,4D*,7/2,,307240.7001,,0.003, 100                                                              ,L9088
2s2.2p4.(3P).5p,4D*,3/2,,307774.6858,,0.003,  63                            :    21  2s2.2p4.(3P).5p    2D*   ,L9088
2s2.2p4.(3P).5p,4D*,5/2,,307894.8198,,0.003,  46  2D*                       :    45  2s2.2p4.(3P).5p    4D*   ,L9088
2s2.2p4.(3P).5p,4D*,1/2,,308022.9587,,0.003,  94                                                              ,L9088
2s2.2p4.(3P).5p,2D*,5/2,,307420.8248,,0.003,  53                            :    44  2s2.2p4.(3P).5p    4D*   ,L9088
2s2.2p4.(3P).5p,2D*,3/2,,308177.1843,,0.003,  65                            :    26  2s2.2p4.(3P).5p    4D*   ,L9088
2s2.2p4.(3P).5p,2S*,1/2,,308006.8460,,0.003,  82                            :    11  2s2.2p4.(3P).5p    4P*   ,L9088
2s2.2p4.(1D).4s,2D,5/2,,308101.2468,,0.003,  97                                                              ,L9088
2s2.2p4.(1D).4s,2D,3/2,,308101.6076,,0.003,  97                                                              ,L9088
2s2.2p4.(3P).5p,4S*,3/2,,308136.8685,,0.003,  78                            :    12  2s2.2p4.(3P).5p    4P*   ,L9088
2s2.2p4.(3P).5p,2P*,3/2,,308738.0108,,0.003,  75                            :    11  2s2.2p4.(3P).5p    2D*   ,L9088
2s2.2p4.(3P).5p,2P*,1/2,,308976.8347,,0.003,  82                            :     8  2s2.2p4.(3P).5p    2S*   ,L9088
2s2.2p4.(3P).5d,4D,7/2,,312223.5155,,0.003,  79                            :    17  2s2.2p4.(3P).5d    4F    ,L9088
2s2.2p4.(3P).5d,4D,5/2,,312258.0516,,0.003,  75                            :    14  2s2.2p4.(3P).5d    4P    ,L9088
2s2.2p4.(3P).5d,4D,3/2,,312325.6366,,0.003,  65                            :    26  2s2.2p4.(3P).5d    4P    ,L9088
2s2.2p4.(3P).5d,4D,1/2,,312414.9292,,0.004,  52                            :    39  2s2.2p4.(3P).5d    4P    ,L9088
2s2.2p4.(3P).5d,4F,9/2,,312407.6220,,0.003, 100                                                              ,L9088
2s2.2p4.(3P).5d,4F,7/2,,312994.3611,,0.003,  57                            :    23  2s2.2p4.(3P).5d    2F    ,L9088
2s2.2p4.(3P).5d,4F,5/2,,313072.2891,,0.003,  52                            :    27  2s2.2p4.(3P).5d    2D    ,L9088
2s2.2p4.(3P).5d,4F,3/2,,313128.5294,,0.003,  63                            :    21  2s2.2p4.(3P).5d    2P    ,L9088
2s2.2p4.(3P).5d,2F,7/2,,312440.6573,,0.003,  73                            :    26  2s2.2p4.(3P).5d    4F    ,L9088
2s2.2p4.(3P).5d,2F,5/2,,313346.0878,,0.003,  33                            :    27  2s2.2p4.(3P).5d    4P    ,L9088
2s2.2p4.(3P).5d,2D,5/2,,312504.5327,,0.003,  55                            :    23  2s2.2p4.(3P).5d    2F    ,L9088
2s2.2p4.(3P).5d,2D,3/2,,312573.7745,,0.003,  39                            :    30  2s2.2p4.(3P).5d    4P    ,L9088
2s2.2p4.(3P).5d,4P,1/2,,312585.170,,0.004,  51                            :    35  2s2.2p4.(3P).5d    2P    ,L9088
2s2.2p4.(3P).5d,4P,3/2,,313021.8155,,0.003,  40                            :    27  2s2.2p4.(3P).5d    4D    ,L9088
2s2.2p4.(3P).5d,4P,5/2,,313138.5238,,0.003,  41                            :    30  2s2.2p4.(3P).5d    2F    ,L9088
2s2.2p4.(3P<2>).5f,2[4]*,9/2,,312763.8929,,0.005, 100                                                              ,L9088
2s2.2p4.(3P<2>).5f,2[4]*,7/2,,312765.4821,,0.004,  94                            :     6  2s2.2p4.(3P<2>).5f 2[3]* ,L9088
2s2.2p4.(3P<2>).5f,2[3]*,7/2,,312771.9922,,0.005,  94                            :     6  2s2.2p4.(3P<2>).5f 2[4]* ,L9088
2s2.2p4.(3P<2>).5f,2[3]*,5/2,,312772.4309,,0.005,  99                                                              ,L9088
2s2.2p4.(3P<2>).5f,2[2]*,3/2,,312804.0268,,0.005,  99                                                              ,L9088
2s2.2p4.(3P<2>).5f,2[2]*,5/2,,312804.7127,,0.005,  99                                                              ,L9088
2s2.2p4.(3P<2>).5g,2[5],9/2,,312810.675,,0.02, 100                                                              ,L9088
2s2.2p4.(3P<2>).5g,2[5],11/2,,312810.682,,0.004, 100                                                              ,L9088
2s2.2p4.(3P<2>).5g,2[4],7/2,,312811.580,,0.005, 100                                                              ,L9088
2s2.2p4.(3P<2>).5g,2[4],9/2,,312811.604,,0.004, 100                                                              ,L9088
2s2.2p4.(3P<2>).5f,2[5]*,11/2,,312816.6500,,0.004, 100                                                              ,L9088
2s2.2p4.(3P<2>).5f,2[5]*,9/2,,312816.689,,0.004, 100                                                              ,L9088
2s2.2p4.(3P<2>).5g,2[3],5/2,,312824.761,,0.006, 100                                                              ,L9088
2s2.2p4.(3P<2>).5g,2[3],7/2,,312824.776,,0.005, 100                                                              ,L9088
2s2.2p4.(3P<2>).5g,2[6],11/2,,312833.415,,0.006, 100                                                              ,L9088
2s2.2p4.(3P<2>).5g,2[6],13/2,,312833.433,,0.006, 100                                                              ,L9088
2s2.2p4.(3P<2>).5g,2[2],3/2,,312843.10,,0.03, 100                                                              ,L9088
2s2.2p4.(3P<2>).5g,2[2],5/2,,312843.122,,0.008, 100                                                              ,L9088
2s2.2p4.(3P<2>).5f,2[1]*,1/2,,312843.6043,,0.008, 100                                                              ,L9088
2s2.2p4.(3P<2>).5f,2[1]*,3/2,,312844.5547,,0.007, 100                                                              ,L9088
2s2.2p4.(3P).6s,4P,5/2,,312903.4650,,0.003,  87                            :     7  2s2.2p4.(3P).5d    4P    ,L9088
2s2.2p4.(3P).6s,4P,3/2,,313652.1424,,0.003,  62                            :    36  2s2.2p4.(3P).6s    2P    ,L9088
2s2.2p4.(3P).6s,4P,1/2,,313700.1049,,0.003,  78                            :    22  2s2.2p4.(3P).6s    2P    ,L9088
2s2.2p4.(3P).5d,2P,1/2,,313006.2024,,0.004,  55                            :    34  2s2.2p4.(3P).5d    4D    ,L9088
2s2.2p4.(3P).5d,2P,3/2,,313425.5082,,0.003,  48                            :    28  2s2.2p4.(3P).5d    2D    ,L9088
2s2.2p4.(3P).6s,2P,3/2,,313180.2149,,0.003,  52                            :    29  2s2.2p4.(3P).6s    4P    ,L9088
2s2.2p4.(3P).6s,2P,1/2,,314018.9129,,0.003,  78                            :    22  2s2.2p4.(3P).6s    4P    ,L9088
2s2.2p4.(3P<1>).5f,2[2]*,3/2,,313419.0375,,0.02,  99                                                              ,L9088
2s2.2p4.(3P<1>).5f,2[2]*,5/2,,313420.0366,,0.006,  99                                                              ,L9088
2s2.2p4.(3P<1>).5f,2[4]*,9/2,,313431.469,,0.005, 100                                                              ,L9088
2s2.2p4.(3P<1>).5f,2[4]*,7/2,,313432.262,,0.006, 100                                                              ,L9088
2s2.2p4.(3P<1>).5g,2[3],5/2,,313457.5072,,0.006, 100                                                              ,L9088
2s2.2p4.(3P<1>).5g,2[3],7/2,,313457.5580,,0.02, 100                                                              ,L9088
2s2.2p4.(3P<1>).5g,2[5],9/2,,313461.954,,0.02, 100                                                              ,L9088
2s2.2p4.(3P<1>).5g,2[5],11/2,,313461.962,,0.004, 100                                                              ,L9088
2s2.2p4.(3P<1>).5f,2[3]*,7/2,,313469.9028,,0.006, 100                                                              ,L9088
2s2.2p4.(3P<1>).5f,2[3]*,5/2,,313470.4054,,0.008, 100                                                              ,L9088
2s2.2p4.(3P<1>).5g,2[4],7/2,,313480.181,,0.005, 100                                                              ,L9088
2s2.2p4.(3P<1>).5g,2[4],9/2,,313480.213,,0.004, 100                                                              ,L9088
2s2.2p4.(3P<0>).5f,2[3]*,7/2,,313718.9516,,0.007, 100                                                              ,L9088
2s2.2p4.(3P<0>).5f,2[3]*,5/2,,313719.3496,,0.013, 100                                                              ,L9088
2s2.2p4.(3P<0>).5g,2[4],7/2,,313744.493,,0.004, 100                                                              ,L9088
2s2.2p4.(3P<0>).5g,2[4],9/2,,313744.54,,0.03, 100                                                              ,L9088
2s2.2p4.(3P).6p,4P*,5/2,,314927.6979,,0.004,  83                            :    16  2s2.2p4.(3P).6p    4D*   ,L9088
2s2.2p4.(3P).6p,4P*,3/2,,315040.109,,0.004,  70                            :    17  2s2.2p4.(3P).6p    4S*   ,L9088
