obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,Unnamed: 17
78.2494,0.0005,78.25003,300,1.0e+07,,0.000,127795.481,5d10.6s,2S,1/2,5d10.8p,2P*,3/2,,T7226,L11760,
78.7757,0.0005,78.77623,150,3.1e+07,,0.000,126941.844,5d10.6s,2S,1/2,5d10.8p,2P*,1/2,,T7226,L11760,
80.2469,0.0005,80.24729,250,1.9e+07,,0.000,124614.794,5d10.6s,2S,1/2,5d9.6s.6p,"(2D<3/2>,1P<1>)*",3/2,,T7226,L11760,
82.1329,0.0005,82.13300,15000,1.4e+08,,0.000,121753.739,5d10.6s,2S,1/2,5d9.6s.6p,"(2D<3/2>,1P<1>)*",1/2,,T7226,L11760,
89.3085,0.0005,89.30847,200000,5.8e+07,,0.000,111971.464,5d10.6s,2S,1/2,5d10.7p,2P*,3/2,,T7226,L11760,
89.3287,0.0005,,2000,,,,,,,,,,,,,L11760,
91.5819,0.0005,91.58210,120000,1.3e+09,,0.000,109191.648,5d10.6s,2S,1/2,5d9.6s.6p,"(2D<3/2>,3P<2>)*",3/2,,T7226,L11760,
92.3377,0.0005,92.33765,350,6.5e+08,,0.000,108298.183,5d10.6s,2S,1/2,5d10.7p,2P*,1/2,,T7226,L11760,
94.0736,0.0005,94.07391,25000,7.0e+08,,0.000,106299.401,5d10.6s,2S,1/2,5d9.6s.6p,"(2D<3/2>,3P<2>)*",1/2,,T7226,L11760,
94.2630,0.0005,94.26313,200000,1.6e+09,,0.000,106086.013,5d10.6s,2S,1/2,5d9.6s.6p,"(2D<5/2>,1P<1>)*",3/2,,T7226,L11760,
96.2711,0.0005,96.27113,250000,2.0e+09,,0.000,103873.302,5d10.6s,2S,1/2,5d9.6s.6p,"(2D<3/2>,3P<1>)*",1/2,,T7226,L11760,
96.9142,0.0005,96.91437,250000,6.8e+08,,0.000,103183.874,5d10.6s,2S,1/2,5d9.6s.6p,"(2D<3/2>,3P<1>)*",3/2,,T7226,L11760,
102.2965,0.0005,102.29666,50,1.0e+06,,35514.624,133269.525,5d9.6s2,2D,5/2,5d10.6f,2F*,7/2,,T7226,L11760,
102.7570,0.0005,102.75713,100,1.6e+08,,60608.362,157925.207,5d10.6p,2P*,3/2,5d9.6p2,"(2D<5/2>,3P<2>)",5/2,,T7226,L11760,
102.9908,0.0005,102.99109,6000,1.2e+05,,0.000,97095.774,5d10.6s,2S,1/2,5d9.6s.6p,"(2D<3/2>,3P<0>)*",3/2,,T7226,L11760,
103.3737,0.0005,103.37370,25,8.2e+06,,51486.070,148222.473,5d10.6p,2P*,1/2,5d9.6s.6d,"[(2D<5/2>,1/2)<2>,3/2]",3/2,,T7226,L11760,
103.4691,0.0005,103.46904,20,1.6e+07,,51486.070,148133.339,5d10.6p,2P*,1/2,5d9.6s.6d,"[(2D<5/2>,1/2)<2>,3/2]",1/2,,T7226,L11760,
103.9631,0.0005,103.96315,200000,3.0e+08,,0.000,96187.932,5d10.6s,2S,1/2,5d9.6s.6p,"(2D<5/2>,3P<2>)*",1/2,,T7226,L11760,
105.2960,0.0005,,150,,,,,,,,,,,,,L11760,
106.2780,0.0004,106.27802,200000,5.2e+07,,0.000,94092.834,5d10.6s,2S,1/2,5d9.6s.6p,"(2D<5/2>,3P<2>)*",3/2,,T7226,L11760,
107.0369,0.0005,107.03697,120,2.3e+07,,51486.070,144911.731,5d10.6p,2P*,1/2,5d9.6s.6d,"[(2D<5/2>,1/2)<3>,5/2]",3/2,,T7226,L11760,
107.3337,0.0005,107.33344,15l,9.2e+06,,51486.070,144653.677,5d10.6p,2P*,1/2,5d10.11d,2D,3/2,,T7226,L11760,
107.4416,0.0005,107.44168,12,3.0e+06,,51486.070,144559.816,5d10.6p,2P*,1/2,5d9.6s.6d,"[(2D<5/2>,1/2)<3>,3/2]",3/2,,T7226,L11760,
108.3646,0.0004,108.36484,500,1.5e+07,,35514.624,127795.481,5d9.6s2,2D,5/2,5d10.8p,2P*,3/2,,T7226,L11760,
109.6804,0.0005,109.68014,40,2.1e+07,,51486.070,142660.277,5d10.6p,2P*,1/2,5d10.10d,2D,3/2,,T7226,L11760,
110.5878,0.0005,110.58742,50,3.8e+07,,51486.070,141912.265,5d10.6p,2P*,1/2,5d10.11s,2S,1/2,,T7226,L11760,
112.2335,0.0005,112.23323,8,2.0e+07,,35514.624,124614.794,5d9.6s2,2D,5/2,5d9.6s.6p,"(2D<3/2>,1P<1>)*",3/2,,T7226,L11760,
112.8046,0.0004,,40,,,,,,,,,,,,,L11760,
113.7700,0.0005,113.76988,15,3.2e+06,,35514.624,123411.351,5d9.6s2,2D,5/2,5d10.5f,2F*,5/2,,T7226,L11760,
114.1042,0.0004,114.10425,15,9.2e+06,,35514.624,123153.775,5d9.6s2,2D,5/2,5d10.5f,2F*,7/2,,T7226,L11760,
115.6795,0.0004,115.67945,90,2.3e+07,,35514.624,121960.399,5d9.6s2,2D,5/2,5d9.6s.6p,"(2D<3/2>,1P<1>)*",5/2,,T7226,L11760,
116.0382,0.0004,116.03825,900,7.8e+07,,0.000,86178.478,5d10.6s,2S,1/2,5d9.6s.6p,"(2D<5/2>,3P<1>)*",3/2,,T7226,L11760,
116.2197,0.0004,116.21974,5,4.7e+07,,60608.362,146652.263,5d10.6p,2P*,3/2,5d9.6p2,"(2D<5/2>,3P<0>)",5/2,,T7226,L11760,
120.3706,0.0004,120.37057,50,9.0e+07,,51486.070,134562.854,5d10.6p,2P*,1/2,5d10.8d,2D,3/2,,T7226,L11760,
123.3433,0.0004,123.34338,60,4.6e+07,,51486.070,132560.550,5d10.6p,2P*,1/2,5d10.9s,2S,1/2,,T7226,L11760,
125.7404,0.0004,125.74066,15,3.5e+06,,60608.362,140137.134,5d10.6p,2P*,3/2,5d9.6s.7s,"[(2D<5/2>,1/2)<2>,1/2]",5/2,,T7226,L11760,
126.4541,0.0004,126.45431,20h,4.3e+07,,60608.362,139688.308,5d10.6p,2P*,3/2,5d10.9d,2D,5/2,,T7226,L11760,
126.8828,0.0005,,15h,,,,,,,,,,,,,L11760,
127.6793,0.0005,,10h,,,,,,,,,,,,,L11760,
127.8444,0.0004,127.84463,40,3.7e+08,,79705.262,157925.207,5d9.6s.6p,"(2D<5/2>,3P<0>)*",5/2,5d9.6p2,"(2D<5/2>,3P<2>)",5/2,,T7226,L11760,
128.4912,0.0005,128.49124,40,3.4e+07,,60608.362,138434.682,5d10.6p,2P*,3/2,5d10.10s,2S,1/2,,T7226,L11760,
129.4665,0.0005,129.46674,75,2.2e+07,,50555.567,127795.481,5d9.6s2,2D,3/2,5d10.8p,2P*,3/2,,T7226,L11760,
130.0374,0.0005,,15,,,,,,,,,,,,,L11760,
130.4429,0.0004,,40,,,,,,,,,,,,,L11760,
130.7928,0.0004,130.79275,1200,6.5e+08,,35514.624,111971.464,5d9.6s2,2D,5/2,5d10.7p,2P*,3/2,,T7226,L11760,
130.8153,0.0004,,150,,,,,,,,,,,,,L11760,
130.9135,0.0004,130.91357,130,1.4e+08,,50555.567,126941.844,5d9.6s2,2D,3/2,5d10.8p,2P*,1/2,,T7226,L11760,
131.3964,0.0004,131.39611,15,3.7e+06,,60608.362,136714.118,5d10.6p,2P*,3/2,5d9.6s.7s,"[(2D<5/2>,1/2)<3>,1/2]",5/2,,T7226,L11760,
132.1713,0.0004,132.17116,2000,6.7e+08,,35514.624,111174.092,5d9.6s2,2D,5/2,5d9.6s.6p,"(2D<3/2>,3P<2>)*",5/2,,T7226,L11760,
132.3042,0.0004,132.30377,60p,6.3e+08,,79705.262,155288.900,5d9.6s.6p,"(2D<5/2>,3P<0>)*",5/2,5d9.6p2,"(2D<5/2>,3P<1>)",5/2,,T7226,L11760,
133.1737,0.0004,133.17384,2000,5.4e+08,,35514.624,110604.447,5d9.6s2,2D,5/2,5d9.6s.6p,"(2D<3/2>,3P<2>)*",7/2,,T7226,L11760,
134.7240,0.0004,,100,,,,,,,,,,,,,L11760,
134.7775,0.0004,134.77771,120,9.1e+08,,84212.404,158408.647,5d9.6s.6p,"(2D<5/2>,3P<1>)*",7/2,5d9.6p2,"(2D<5/2>,3P<2>)",7/2,,T7226,L11760,
134.9689,0.0004,134.96897,50,8.8e+07,,60608.362,134699.466,5d10.6p,2P*,3/2,5d10.8d,2D,5/2,,T7226,L11760,
135.0268,0.0004,135.02706,4000,2.2e+09,,50555.567,124614.794,5d9.6s2,2D,3/2,5d9.6s.6p,"(2D<3/2>,1P<1>)*",3/2,,T7226,L11760,
135.2186,0.0005,135.21829,5,1.5e+07,,60608.362,134562.854,5d10.6p,2P*,3/2,5d10.8d,2D,3/2,,T7226,L11760,
135.2496,0.0005,135.24960,20,1.4e+08,,95187.361,169124.734,5d9.6s.6p,"(2D<5/2>,3P<2>)*",7/2,5d9.6p2,"(2D<5/2>,1D<2>)",7/2,,T7226,L11760,
135.4289,0.0004,135.42894,400,2.1e+08,,51486.070,125325.531,5d10.6p,2P*,1/2,5d10.7d,2D,3/2,,T7226,L11760,
135.6982,0.0005,135.69789,20w,1.1e+09,,84212.404,157905.52,5d9.6s.6p,"(2D<5/2>,3P<1>)*",7/2,5d9.6p2,"(2D<5/2>,3P<2>)",9/2,,T7226,L11760,
135.7276,0.0004,135.72752,120,2.5e+07,,35514.624,109191.648,5d9.6s2,2D,5/2,5d9.6s.6p,"(2D<3/2>,3P<2>)*",3/2,,T7226,L11760,
135.9203,0.0004,135.92034,90,6.6e+08,,84836.143,158408.647,5d9.6s.6p,"(2D<5/2>,3P<1>)*",5/2,5d9.6p2,"(2D<5/2>,3P<2>)",7/2,,T7226,L11760,
135.9932,0.0005,,20,,,,,,,,,,,,,L11760,
136.1263,0.0004,136.12645,6000,1.6e+09,,35514.624,108975.732,5d9.6s2,2D,5/2,5d9.6s.6p,"(2D<5/2>,1P<1>)*",5/2,,T7226,L11760,
136.8194,0.0004,136.81937,12,3.5e+08,,84836.143,157925.207,5d9.6s.6p,"(2D<5/2>,3P<1>)*",5/2,5d9.6p2,"(2D<5/2>,3P<2>)",5/2,,T7226,L11760,
137.2573,0.0004,137.25746,1200,5.7e+08,,50555.567,123411.351,5d9.6s2,2D,3/2,5d10.5f,2F*,5/2,,T7226,L11760,
137.9543,0.0006,,15,,,,,,,,,,,,,L11760,
138.2203,0.0004,138.22017,300,1.5e+09,,79705.262,152053.602,5d9.6s.6p,"(2D<5/2>,3P<0>)*",5/2,5d9.6p2,"(2D<5/2>,3P<1>)",7/2,,T7226,L11760,
138.9812,0.0004,138.98118,60,7.0e+07,,60608.362,132560.550,5d10.6p,2P*,3/2,5d10.9s,2S,1/2,,T7226,L11760,
139.3791,0.0010,139.37918,40p,6.0e+08,,86178.478,157925.207,5d9.6s.6p,"(2D<5/2>,3P<1>)*",3/2,5d9.6p2,"(2D<5/2>,3P<2>)",5/2,,T7226,L11760,
140.0461,0.0004,140.04654,2000,1.6e+09,,50555.567,121960.399,5d9.6s2,2D,3/2,5d9.6s.6p,"(2D<3/2>,1P<1>)*",5/2,,T7226,L11760,
140.4534,0.0003,140.45304,800,2.0e+09,,50555.567,121753.739,5d9.6s2,2D,3/2,5d9.6s.6p,"(2D<3/2>,1P<1>)*",1/2,,T7226,L11760,
140.6940,0.0004,140.69349,50,1.8e+08,,84212.404,155288.900,5d9.6s.6p,"(2D<5/2>,3P<1>)*",7/2,5d9.6p2,"(2D<5/2>,3P<1>)",5/2,,T7226,L11760,
141.4420,0.0004,141.44185,45000,1.8e+09,,35514.624,106215.059,5d9.6s2,2D,5/2,5d9.6s.6p,"(2D<5/2>,1P<1>)*",7/2,,T7226,L11760,
141.7005,0.0004,141.70048,15000,1.1e+09,,35514.624,106086.013,5d9.6s2,2D,5/2,5d9.6s.6p,"(2D<5/2>,1P<1>)*",3/2,,T7226,L11760,
141.9393,0.0004,141.93909,150,7.3e+08,,84836.143,155288.900,5d9.6s.6p,"(2D<5/2>,3P<1>)*",5/2,5d9.6p2,"(2D<5/2>,3P<1>)",5/2,,T7226,L11760,
142.9992,0.0004,142.99901,150,8.5e+07,,51486.070,121416.626,5d10.6p,2P*,1/2,5d10.8s,2S,1/2,,T7226,L11760,
144.6961,0.0004,144.69598,80,1.6e+08,,86178.478,155288.900,5d9.6s.6p,"(2D<5/2>,3P<1>)*",3/2,5d9.6p2,"(2D<5/2>,3P<1>)",5/2,,T7226,L11760,
145.9482,0.0004,145.94873,20,1.1e+08,,79705.262,148222.473,5d9.6s.6p,"(2D<5/2>,3P<0>)*",5/2,5d9.6s.6d,"[(2D<5/2>,1/2)<2>,3/2]",3/2,,T7226,L11760,
147.4029,0.0004,147.40306,40,2.1e+08,,84212.404,152053.602,5d9.6s.6p,"(2D<5/2>,3P<1>)*",7/2,5d9.6p2,"(2D<5/2>,3P<1>)",7/2,,T7226,L11760,
147.7776,0.0004,147.77761,3500,3.8e+08,,35514.624,103183.874,5d9.6s2,2D,5/2,5d9.6s.6p,"(2D<3/2>,3P<1>)*",3/2,,T7226,L11760,
148.6563,0.0004,148.65658,5,8.9e+07,,91139.508,158408.647,5d9.6s.6p,"(2D<5/2>,3P<2>)*",9/2,5d9.6p2,"(2D<5/2>,3P<2>)",7/2,,T7226,L11760,
149.1545,0.0004,149.1543,40,3.5e+08,,94092.834,161137.50,5d9.6s.6p,"(2D<5/2>,3P<2>)*",3/2,5d9.6s.6d,"[(2D<3/2>,1/2)<1>,3/2]",5/2,,T7226,L11760,
149.6997,0.0004,149.69966,150,4.0e+08,,79705.262,146505.679,5d9.6s.6p,"(2D<5/2>,3P<0>)*",5/2,5d9.6s.6d,"[(2D<5/2>,1/2)<3>,5/2]",7/2,,T7226,L11760,
149.7767,0.0003,149.77681,25w,1.2e+09,,91139.508,157905.52,5d9.6s.6p,"(2D<5/2>,3P<2>)*",9/2,5d9.6p2,"(2D<5/2>,3P<2>)",9/2,,T7226,L11760,
150.9135,0.0004,150.91371,35,7.2e+07,,79705.262,145968.295,5d9.6s.6p,"(2D<5/2>,3P<0>)*",5/2,5d9.6s.6d,"[(2D<5/2>,1/2)<3>,3/2]",7/2,,T7226,L11760,
151.1622,0.0004,151.16237,250,9.3e+08,,79705.262,145859.294,5d9.6s.6p,"(2D<5/2>,3P<0>)*",5/2,5d9.6s.6d,"[(2D<5/2>,1/2)<3>,3/2]",5/2,,T7226,L11760,
152.7501,0.0005,152.75035,125,3.0e+08,,79705.262,145171.560,5d9.6s.6p,"(2D<5/2>,3P<0>)*",5/2,5d9.6s.6d,"[(2D<5/2>,1/2)<3>,5/2]",5/2,,T7226,L11760,
153.0298,0.0004,153.02981,800,6.0e+06,,35514.624,100861.369,5d9.6s2,2D,5/2,5d9.6s.6p,"(2D<3/2>,3P<1>)*",5/2,,T7226,L11760,
153.3589,0.0004,153.35902,125,3.8e+08,,79705.262,144911.731,5d9.6s.6p,"(2D<5/2>,3P<0>)*",5/2,5d9.6s.6d,"[(2D<5/2>,1/2)<3>,5/2]",3/2,,T7226,L11760,
153.9140,0.0004,153.91417,800,1.8e+08,,60608.362,125579.636,5d10.6p,2P*,3/2,5d10.7d,2D,5/2,,T7226,L11760,
153.9708,0.0005,153.97046,3w,1.6e+08,,97095.774,162043.299,5d9.6s.6p,"(2D<3/2>,3P<0>)*",3/2,5d9.6s.6d,"[(2D<3/2>,1/2)<1>,5/2]",5/2,,T7226,L11760,
154.1910,0.0004,154.19118,350,1.2e+09,,79705.262,144559.816,5d9.6s.6p,"(2D<5/2>,3P<0>)*",5/2,5d9.6s.6d,"[(2D<5/2>,1/2)<3>,3/2]",3/2,,T7226,L11760,
154.5184,0.0004,154.51850,125,3.0e+07,,60608.362,125325.531,5d10.6p,2P*,3/2,5d10.7d,2D,3/2,,T7226,L11760,
156.1149,0.0004,156.11499,20,2.4e+08,,100861.369,164916.716,5d9.6s.6p,"(2D<3/2>,3P<1>)*",5/2,5d9.6s.6d,"[(2D<3/2>,1/2)<2>,5/2]",7/2,,T7226,L11760,
156.1479,0.0005,156.1482,300u,8.2e+08,,97095.774,161137.50,5d9.6s.6p,"(2D<3/2>,3P<0>)*",3/2,5d9.6s.6d,"[(2D<3/2>,1/2)<1>,3/2]",5/2,,T7226,L11760,
156.6602,0.0004,156.66032,10,1.8e+08,,94092.834,157925.207,5d9.6s.6p,"(2D<5/2>,3P<2>)*",3/2,5d9.6p2,"(2D<5/2>,3P<2>)",5/2,,T7226,L11760,
157.7621,0.0004,157.76272,50,1.3e+08,,84836.143,148222.473,5d9.6s.6p,"(2D<5/2>,3P<1>)*",5/2,5d9.6s.6d,"[(2D<5/2>,1/2)<2>,3/2]",3/2,,T7226,L11760,
158.1748,0.0003,158.17457,250,7.0e+08,,95187.361,158408.647,5d9.6s.6p,"(2D<5/2>,3P<2>)*",7/2,5d9.6p2,"(2D<5/2>,3P<2>)",7/2,,T7226,L11760,
158.4674,0.0003,158.46728,125,3.0e+08,,95304.138,158408.647,5d9.6s.6p,"(2D<5/2>,3P<2>)*",5/2,5d9.6p2,"(2D<5/2>,3P<2>)",7/2,,T7226,L11760,
158.9581,0.0005,158.95806,100,9.0e+08,,106215.059,169124.734,5d9.6s.6p,"(2D<5/2>,1P<1>)*",7/2,5d9.6p2,"(2D<5/2>,1D<2>)",7/2,,T7226,L11760,
159.1451,0.0005,,10,,,,,,,,,,,,,L11760,
159.3932,0.0004,159.39342,60,6.2e+08,,95187.361,157925.207,5d9.6s.6p,"(2D<5/2>,3P<2>)*",7/2,5d9.6p2,"(2D<5/2>,3P<2>)",5/2,,T7226,L11760,
159.6904,0.0004,159.69066,25,3.2e+08,,95304.138,157925.207,5d9.6s.6p,"(2D<5/2>,3P<2>)*",5/2,5d9.6p2,"(2D<5/2>,3P<2>)",5/2,,T7226,L11760,
159.9601,0.0003,159.96017,500,6.3e+08,,84212.404,146727.968,5d9.6s.6p,"(2D<5/2>,3P<1>)*",7/2,5d9.6s.6d,"[(2D<5/2>,1/2)<3>,5/2]",9/2,,T7226,L11760,
160.1541,0.0003,160.15411,400,1.0e+09,,84212.404,146652.263,5d9.6s.6p,"(2D<5/2>,3P<1>)*",7/2,5d9.6p2,"(2D<5/2>,3P<0>)",5/2,,T7226,L11760,
160.5311,0.0003,160.53097,400,4.0e+08,,84212.404,146505.679,5d9.6s.6p,"(2D<5/2>,3P<1>)*",7/2,5d9.6s.6d,"[(2D<5/2>,1/2)<3>,5/2]",7/2,,T7226,L11760,
161.1763,0.0003,161.17595,60,6.2e+08,,86178.478,148222.473,5d9.6s.6p,"(2D<5/2>,3P<1>)*",3/2,5d9.6s.6d,"[(2D<5/2>,1/2)<2>,3/2]",3/2,,T7226,L11760,
161.4083,0.0002,161.40784,300,1.3e+09,,86178.478,148133.339,5d9.6s.6p,"(2D<5/2>,3P<1>)*",3/2,5d9.6s.6d,"[(2D<5/2>,1/2)<2>,3/2]",1/2,,T7226,L11760,
161.7703,0.0002,161.77010,200,4.0e+08,,84836.143,146652.263,5d9.6s.6p,"(2D<5/2>,3P<1>)*",5/2,5d9.6p2,"(2D<5/2>,3P<0>)",5/2,,T7226,L11760,
161.9279,0.0002,161.92787,200,2.8e+08,,84212.404,145968.295,5d9.6s.6p,"(2D<5/2>,3P<1>)*",7/2,5d9.6s.6d,"[(2D<5/2>,1/2)<3>,3/2]",7/2,,T7226,L11760,
162.1549,0.0003,162.15462,50,1.8e+07,,84836.143,146505.679,5d9.6s.6p,"(2D<5/2>,3P<1>)*",5/2,5d9.6s.6d,"[(2D<5/2>,1/2)<3>,5/2]",7/2,,T7226,L11760,
162.2141,0.0003,162.21418,200,3.7e+08,,84212.404,145859.294,5d9.6s.6p,"(2D<5/2>,3P<1>)*",7/2,5d9.6s.6d,"[(2D<5/2>,1/2)<3>,3/2]",5/2,,T7226,L11760,
162.3874,0.0002,162.38735,2000,2.0e+07,,35514.624,97095.774,5d9.6s2,2D,5/2,5d9.6s.6p,"(2D<3/2>,3P<0>)*",3/2,,T7226,L11760,
163.4094,0.0003,163.40920,150,2.0e+08,,94092.834,155288.900,5d9.6s.6p,"(2D<5/2>,3P<2>)*",3/2,5d9.6p2,"(2D<5/2>,3P<1>)",5/2,,T7226,L11760,
163.5801,0.0002,163.58004,170,8.8e+07,,84836.143,145968.295,5d9.6s.6p,"(2D<5/2>,3P<1>)*",5/2,5d9.6s.6d,"[(2D<5/2>,1/2)<3>,3/2]",7/2,,T7226,L11760,
163.8723,0.0002,163.87223,30,1.6e+07,,84836.143,145859.294,5d9.6s.6p,"(2D<5/2>,3P<1>)*",5/2,5d9.6s.6d,"[(2D<5/2>,1/2)<3>,3/2]",5/2,,T7226,L11760,
164.0443,0.0002,164.04427,200,1.2e+08,,84212.404,145171.560,5d9.6s.6p,"(2D<5/2>,3P<1>)*",7/2,5d9.6s.6d,"[(2D<5/2>,1/2)<3>,5/2]",5/2,,T7226,L11760,
164.1657,0.0002,164.16562,200,8.8e+08,,91139.508,152053.602,5d9.6s.6p,"(2D<5/2>,3P<2>)*",9/2,5d9.6p2,"(2D<5/2>,3P<1>)",7/2,,T7226,L11760,
164.3310,0.0004,,300,,,,,,,,,,,,,L11760,
164.4514,0.0002,164.45133,500,1.1e+08,,60608.362,121416.626,5d10.6p,2P*,3/2,5d10.8s,2S,1/2,,T7226,L11760,
164.9662,0.0002,164.96607,1500,6.3e+07,,50555.567,111174.092,5d9.6s2,2D,3/2,5d9.6s.6p,"(2D<3/2>,3P<2>)*",5/2,,T7226,L11760,
164.9937,0.0003,164.99373,400000E,1.2e+09,,0.000,60608.362,5d10.6s,2S,1/2,5d10.6p,2P*,3/2,,T7226,L11760,
165.3609,0.0002,165.36091,3,2.0e+08,,86178.478,146652.263,5d9.6s.6p,"(2D<5/2>,3P<1>)*",3/2,5d9.6p2,"(2D<5/2>,3P<0>)",5/2,,T7226,L11760,
165.5438,0.0002,165.54385,500,3.4e+08,,84212.404,144619.360,5d9.6s.6p,"(2D<5/2>,3P<1>)*",7/2,5d9.6s.6d,"[(2D<5/2>,1/2)<3>,3/2]",9/2,,T7226,L11760,
166.2531,0.0005,166.25380,3u,1.1e+09,,108975.732,169124.734,5d9.6s.6p,"(2D<5/2>,1P<1>)*",5/2,5d9.6p2,"(2D<5/2>,1D<2>)",7/2,,T7226,L11760,
166.3850,0.0002,166.38509,25,3.3e+08,,95187.361,155288.900,5d9.6s.6p,"(2D<5/2>,3P<2>)*",7/2,5d9.6p2,"(2D<5/2>,3P<1>)",5/2,,T7226,L11760,
166.7090,0.0002,166.70901,30,3.2e+08,,95304.138,155288.900,5d9.6s.6p,"(2D<5/2>,3P<2>)*",5/2,5d9.6p2,"(2D<5/2>,3P<1>)",5/2,,T7226,L11760,
167.2537,0.0003,167.25341,40000,3.2e+07,,35514.624,95304.138,5d9.6s2,2D,5/2,5d9.6s.6p,"(2D<5/2>,3P<2>)*",5/2,,T7226,L11760,
167.4378,0.0003,167.43779,10,5.2e+07,,84836.143,144559.816,5d9.6s.6p,"(2D<5/2>,3P<1>)*",5/2,5d9.6s.6d,"[(2D<5/2>,1/2)<3>,3/2]",3/2,,T7226,L11760,
167.5581,0.0003,167.55803,2,2.0e+07,,86178.478,145859.294,5d9.6s.6p,"(2D<5/2>,3P<1>)*",3/2,5d9.6s.6d,"[(2D<5/2>,1/2)<3>,3/2]",5/2,,T7226,L11760,
167.5809,0.0002,167.58072,4500,1.2e+06,,35514.624,95187.361,5d9.6s2,2D,5/2,5d9.6s.6p,"(2D<5/2>,3P<2>)*",7/2,,T7226,L11760,
168.8728,0.0003,168.87296,5,1.0e+07,,79705.262,138921.375,5d9.6s.6p,"(2D<5/2>,3P<0>)*",5/2,5d9.6s.7s,"[(2D<5/2>,1/2)<2>,1/2]",3/2,,T7226,L11760,
169.5114,0.0002,169.51140,200,2.3e+08,,86178.478,145171.560,5d9.6s.6p,"(2D<5/2>,3P<1>)*",3/2,5d9.6s.6d,"[(2D<5/2>,1/2)<3>,5/2]",5/2,,T7226,L11760,
170.2612,0.0002,170.26130,30,4.0e+07,,86178.478,144911.731,5d9.6s.6p,"(2D<5/2>,3P<1>)*",3/2,5d9.6s.6d,"[(2D<5/2>,1/2)<3>,5/2]",3/2,,T7226,L11760,
