Configuration,Term,J,g,Prefix,Level (cm-1),Suffix,Reference
6p6,1S,0,1,,0.0,,L3466
6p5.(2P*<3/2>).7s,2[3/2]*,2,5,,54620.35,,L3466
6p5.(2P*<3/2>).7s,2[3/2]*,1,3,,55989.03,,L3466
6p5.(2P*<3/2>).7p,2[1/2],1,3,,66244.97,,L3466
6p5.(2P*<3/2>).7p,2[1/2],0,1,,69743.98,,L3466
6p5.(2P*<3/2>).7p,2[5/2],2,5,,66707.53,,L3466
6p5.(2P*<3/2>).7p,2[5/2],3,7,,68039.48,,L3466
6p5.(2P*<3/2>).6d,2[1/2]*,0,1,,67906.52,,L3466
6p5.(2P*<3/2>).6d,2[1/2]*,1,3,,68891.34,,L3466
6p5.(2P*<3/2>).7p,2[3/2],1,3,,68332.10,,L3466
6p5.(2P*<3/2>).7p,2[3/2],2,5,,68789.93,,L3466
6p5.(2P*<3/2>).6d,2[7/2]*,4,9,,69798.00,,L3466
6p5.(2P*<3/2>).6d,2[7/2]*,3,7,,70440.42,,L3466
6p5.(2P*<3/2>).6d,2[3/2]*,1,3,,,,L3466
6p5.(2P*<3/2>).6d,2[3/2]*,2,5,,70222.82,,L3466
6p5.(2P*<3/2>).8p,2[1/2],1,3,,77039.38,,L3466
6p5.(2P*<3/2>).8p,2[1/2],0,1,,78163.27,,L3466
6p5.(2P*<3/2>).8p,2[5/2],2,5,,77161.69,,L3466
6p5.(2P*<3/2>).8p,2[5/2],3,7,,77604.53,,L3466
6p5.(2P*<3/2>).7d,2[1/2]*,0,1,,77594.82,,L3466
6p5.(2P*<3/2>).7d,2[1/2]*,1,3,,77816.12,,L3466
6p5.(2P*<3/2>).8p,2[3/2],1,3,,77677.83,,L3466
6p5.(2P*<3/2>).8p,2[3/2],2,5,,77827.82,,L3466
6p5.(2P*<3/2>).7d,2[7/2]*,4,9,,78088.42,,L3466
6p5.(2P*<3/2>).7d,2[7/2]*,3,7,,78230.67,,L3466
6p5.(2P*<3/2>).7d,2[3/2]*,1,3,,,,L3466
6p5.(2P*<3/2>).7d,2[3/2]*,2,5,,78173.30,,L3466
6p5.(2P*<3/2>).7d,2[5/2]*,2,5,,78475.97,,L3466
6p5.(2P*<3/2>).7d,2[5/2]*,3,7,,78628.28,,L3466
6p5.(2P*<3/2>).9s,2[3/2]*,2,5,,79626.50,,L3466
6p5.(2P*<3/2>).9s,2[3/2]*,1,3,,79762.87,,L3466
6p5.(2P*<3/2>).5f,2[3/2],1,3,,79639.03,,L3466
6p5.(2P*<3/2>).5f,2[3/2],2,5,,79644.93,,L3466
6p5.(2P*<3/2>).5f,2[9/2],5,11,,,,L3466
6p5.(2P*<3/2>).5f,2[9/2],4,9,,79690.3,,L3466
6p5.(2P*<3/2>).5f,2[5/2],3,7,,79745.40,,L3466
6p5.(2P*<3/2>).5f,2[5/2],2,5,,79750.02,,L3466
6p5.(2P*<3/2>).5f,2[7/2],4,9,,,,L3466
6p5.(2P*<3/2>).5f,2[7/2],3,7,,79785.18,,L3466
6p5.(2P*<3/2>).9p,2[1/2],1,3,,80998.06,,L3466
6p5.(2P*<3/2>).9p,2[1/2],0,1,,81510.27,,L3466
6p5.(2P*<3/2>).9p,2[5/2],2,5,,81049.29,,L3466
6p5.(2P*<3/2>).9p,2[5/2],3,7,,81253.54,,L3466
6p5.(2P*<3/2>).8d,2[1/2]*,0,1,,81234.15,,L3466
6p5.(2P*<3/2>).8d,2[1/2]*,1,3,,81329.96,,L3466
6p5.(2P*<3/2>).9p,2[3/2],1,3,,81283.24,,L3466
6p5.(2P*<3/2>).9p,2[3/2],2,5,,81351.52,,L3466
6p5.(2P*<3/2>).8d,2[3/2]*,2,5,,81490.50,,L3466
6p5.(2P*<3/2>).8d,2[3/2]*,1,3,,81966.30,,L3466
6p5.(2P*<3/2>).8d,2[7/2]*,4,9,,,,L3466
6p5.(2P*<3/2>).8d,2[7/2]*,3,7,,81514.40,,L3466
6p5.(2P*<3/2>).8d,2[5/2]*,2,5,,81619.30,,L3466
6p5.(2P*<3/2>).8d,2[5/2]*,3,7,,81695.16,,L3466
6p5.(2P*<3/2>).6f,2[3/2],1,3,,82190.55,,L3466
6p5.(2P*<3/2>).6f,2[3/2],2,5,,82195.97,,L3466
6p5.(2P*<3/2>).10s,2[3/2]*,2,5,,82211.18,,L3466
6p5.(2P*<3/2>).10s,2[3/2]*,1,3,,82275.97,,L3466
6p5.(2P*<3/2>).6f,2[9/2],5,11,,,,L3466
6p5.(2P*<3/2>).6f,2[9/2],4,9,,82218.92,,L3466
6p5.(2P*<3/2>).6f,2[5/2],3,7,,82246.73,,L3466
6p5.(2P*<3/2>).6f,2[5/2],2,5,,82251.06,,L3466
6p5.(2P*<3/2>).6f,2[7/2],4,9,,,,L3466
6p5.(2P*<3/2>).6f,2[7/2],3,7,,82270.68,,L3466
6p5.(2P*<3/2>).10p,2[1/2],1,3,,82927.18,,L3466
6p5.(2P*<3/2>).10p,2[1/2],0,1,,83203.97,,L3466
6p5.(2P*<3/2>).10p,2[5/2],2,5,,82953.90,,L3466
6p5.(2P*<3/2>).10p,2[5/2],3,7,,83064.98,,L3466
6p5.(2P*<3/2>).9d,2[1/2]*,0,1,,83042.53,,L3466
6p5.(2P*<3/2>).9d,2[1/2]*,1,3,,83096.24,,L3466
6p5.(2P*<3/2>).10p,2[3/2],1,3,,83079.34,,L3466
6p5.(2P*<3/2>).10p,2[3/2],2,5,,83116.71,,L3466
6p5.(2P*<3/2>).9d,2[7/2]*,4,9,,83172.08,,L3466
6p5.(2P*<3/2>).9d,2[7/2]*,3,7,,83199.40,,L3466
6p5.(2P*<3/2>).9d,2[3/2]*,2,5,,83186.66,,L3466
6p5.(2P*<3/2>).9d,2[3/2]*,1,3,,83449.38,,L3466
6p5.(2P*<3/2>).9d,2[5/2]*,2,5,,83254.04,,L3466
6p5.(2P*<3/2>).9d,2[5/2]*,3,7,,83297.22,,L3466
6p5.(2P*<3/2>).7f,2[3/2],1,3,,83575.07,,L3466
6p5.(2P*<3/2>).7f,2[3/2],2,5,,83578.55,,L3466
6p5.(2P*<3/2>).7f,2[9/2],5,11,,,,L3466
6p5.(2P*<3/2>).7f,2[9/2],4,9,,83592.53,,L3466
6p5.(2P*<3/2>).11s,2[3/2]*,2,5,,83595.18,,L3466
6p5.(2P*<3/2>).11s,2[3/2]*,1,3,,83630.49,,L3466
6p5.(2P*<3/2>).7f,2[5/2],3,7,,83607.96,,L3466
6p5.(2P*<3/2>).7f,2[5/2],2,5,,83610.71,,L3466
6p5.(2P*<3/2>).7f,2[7/2],4,9,,,,L3466
6p5.(2P*<3/2>).7f,2[7/2],3,7,,83622.40,,L3466
6p5.(2P*<3/2>).10d,2[1/2]*,0,1,,84075.08,,L3466
6p5.(2P*<3/2>).10d,2[1/2]*,1,3,,84111.60,,L3466
6p5.(2P*<3/2>).11p,2[5/2],2,5,,,,L3466
6p5.(2P*<3/2>).11p,2[5/2],3,7,,84099.35,,L3466
6p5.(2P*<3/2>).11p,2[3/2],1,3,,84108.5,,L3466
6p5.(2P*<3/2>).11p,2[3/2],2,5,,84131.6,,L3466
6p5.(2P*<3/2>).10d,2[7/2]*,4,9,,84162.11,,L3466
6p5.(2P*<3/2>).10d,2[7/2]*,3,7,,84177.33,,L3466
6p5.(2P*<3/2>).10d,2[3/2]*,1,3,,,,L3466
6p5.(2P*<3/2>).10d,2[3/2]*,2,5,,84169.80,,L3466
6p5.(2P*<3/2>).11p,2[1/2],0,1,,84183.06,,L3466
6p5.(2P*<3/2>).10d,2[5/2]*,2,5,,84210.00,,L3466
6p5.(2P*<3/2>).10d,2[5/2]*,3,7,,84236.50,,L3466
6p5.(2P*<3/2>).8f,2[3/2],1,3,,84407.70,,L3466
6p5.(2P*<3/2>).8f,2[3/2],2,5,,84410.41,,L3466
6p5.(2P*<3/2>).8f,2[9/2],5,11,,,,L3466
6p5.(2P*<3/2>).8f,2[9/2],4,9,,84419.04,,L3466
6p5.(2P*<3/2>).12s,2[3/2]*,1,3,,,,L3466
6p5.(2P*<3/2>).12s,2[3/2]*,2,5,,84423.40,,L3466
6p5.(2P*<3/2>).12p,2[5/2],2,5,,,,L3466
6p5.(2P*<3/2>).12p,2[5/2],3,7,,84746.35,,L3466
6p5.(2P*<3/2>).12p,2[3/2],1,3,,,,L3466
6p5.(2P*<3/2>).12p,2[3/2],2,5,,84767.3,,L3466
6p5.(2P*<3/2>).11d,2[7/2]*,4,9,,84785.83,,L3466
6p5.(2P*<3/2>).11d,2[7/2]*,3,7,,84795.53,,L3466
6p5.(2P*<3/2>).11d,2[3/2]*,1,3,,,,L3466
6p5.(2P*<3/2>).11d,2[3/2]*,2,5,,84791.24,,L3466
6p5.(2P*<3/2>).11d,2[5/2]*,2,5,,84816.50,,L3466
6p5.(2P*<3/2>).11d,2[5/2]*,3,7,,84833.91,,L3466
6p5.(2P*<3/2>).9f,2[9/2],5,11,,,,L3466
6p5.(2P*<3/2>).9f,2[9/2],4,9,,84954.68,,L3466
6p5.(2P*<3/2>).9f,2[5/2],2,5,,,,L3466
6p5.(2P*<3/2>).9f,2[5/2],3,7,,84960.71,,L3466
6p5.(2P*<3/2>).12d,2[7/2]*,4,9,,85204.47,,L3466
6p5.(2P*<3/2>).12d,2[7/2]*,3,7,,85210.91,,L3466
6p5.(2P*<3/2>).10f,2[9/2],5,11,,,,L3466
6p5.(2P*<3/2>).10f,2[9/2],4,9,,85322.08,,L3466
6p5.(2P*<1/2>).7s,2[1/2]*,0,1,[,85976,],L3466
6p5.(2P*<1/2>).7s,2[1/2]*,1,3,[,87053,],L3466
Rn II (6p5 2P*<3/2>),Limit,---,,,86692.5,,"L272,L7432"
