Observed  Wavelength  Vac (nm),Ritz  Wavelength  Vac (nm),Unc.  (nm),Rel.  Int. (?),Aki (s−1),Acc.,Ei  (cm−1),,Ek  (cm−1),"Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J",Type,TPRef.,LineRef.
150.737,150.7370,0.0014,"50r,h",,,0.000000,-,66 340.7,4d105s,2S,1/2,4d<sup>9</sup>5s(<sup>3</sup>D)5p,4D°,3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3326&amp;comment_code=&amp;element=Ag&amp;spectr_charge=1&amp;ref=3326&amp;type=
151.563,151.5629,0.0023,"100r,h",,,0.000000,-,65 979.2,4d105s,2S,1/2,4d<sup>9</sup>5s(<sup>3</sup>D)5p,2P°,3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3326&amp;comment_code=&amp;element=Ag&amp;spectr_charge=1&amp;ref=3326&amp;type=
154.858,154.8575,0.0010,"50r,h",,,0.000000,-,64 575.5,4d105s,2S,1/2,4d<sup>9</sup>5s(<sup>3</sup>D)5p,4D°,1/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3326&amp;comment_code=&amp;element=Ag&amp;spectr_charge=1&amp;ref=3326&amp;type=
165.187,165.1870,0.0003,60w,,,0.000000,-,60 537.45,4d105s,2S,1/2,4d<sup>9</sup>5s(<sup>3</sup>D)5p,4P°,1/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=2489&amp;comment_code=&amp;element=Ag&amp;spectr_charge=1&amp;ref=2489&amp;type=
170.811,,,10,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3326&amp;comment_code=&amp;element=Ag&amp;spectr_charge=1&amp;ref=3326&amp;type=
170.926,170.926771,0.000015,50,,,0.000000,-,58 504.586,4d105s,2S,1/2,4d<sup>9</sup>5s(<sup>3</sup>D)5p,4P°,3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3326&amp;comment_code=&amp;element=Ag&amp;spectr_charge=1&amp;ref=3326&amp;type=
176.620,176.613304,0.000009,10w,,,0.000000,-,56 620.876,4d105s,2S,1/2,4d<sup>10</sup>8p,2P°,1/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3326&amp;comment_code=&amp;element=Ag&amp;spectr_charge=1&amp;ref=3326&amp;type=
184.773,184.770792,0.000007,20,,,0.000000,-,54 121.108,4d105s,2S,1/2,4d<sup>10</sup>7p,2P°,3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3326&amp;comment_code=&amp;element=Ag&amp;spectr_charge=1&amp;ref=3326&amp;type=
206.1162,206.116209,0.000004,200,3.1e+06,D,0.000000,-,48 500.8105,4d105s,2S,1/2,4d<sup>10</sup>6p,2P°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=4515&amp;comment_code=&amp;element=Ag&amp;spectr_charge=1&amp;ref=4515&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=11755&amp;comment_code=&amp;element=Ag&amp;spectr_charge=1&amp;ref=11755&amp;type=
206.9844,206.984380,0.000013,100,1.5e+06,D,0.000000,-,48 297.406,4d105s,2S,1/2,4d<sup>10</sup>6p,2P°,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=4515&amp;comment_code=&amp;element=Ag&amp;spectr_charge=1&amp;ref=4515&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=11755&amp;comment_code=&amp;element=Ag&amp;spectr_charge=1&amp;ref=11755&amp;type=
217.000,,,15,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3326&amp;comment_code=&amp;element=Ag&amp;spectr_charge=1&amp;ref=3326&amp;type=
230.956,230.955,0.004,30w,,,30 242.298349,-,73 527.5,4d95s2,2D,5/2,4d<sup>9</sup>5s(<sup>1</sup>D)5p,2D°,5/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3326&amp;comment_code=&amp;element=Ag&amp;spectr_charge=1&amp;ref=3326&amp;type=
231.260,231.260,0.003,10w,,,34 714.22643,-,77 942.3,4d95s2,2D,3/2,4d<sup>9</sup>5s(<sup>1</sup>D)5p,2D°,3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3326&amp;comment_code=&amp;element=Ag&amp;spectr_charge=1&amp;ref=3326&amp;type=
237.502,237.5023,0.0017,50w,,,30 242.298349,-,72 334.3,4d95s2,2D,5/2,4d<sup>9</sup>5s(<sup>1</sup>D)5p,2F°,7/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3326&amp;comment_code=&amp;element=Ag&amp;spectr_charge=1&amp;ref=3326&amp;type=
257.563,257.567,0.005,50w,,,34 714.22643,-,73 527.5,4d95s2,2D,3/2,4d<sup>9</sup>5s(<sup>1</sup>D)5p,2D°,5/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3326&amp;comment_code=&amp;element=Ag&amp;spectr_charge=1&amp;ref=3326&amp;type=
272.177,272.1764,0.0007,50,,,30 242.298349,-,66 972.30,4d95s2,2D,5/2,4d<sup>9</sup>5s(<sup>3</sup>D)5p,2D°,5/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3326&amp;comment_code=&amp;element=Ag&amp;spectr_charge=1&amp;ref=3326&amp;type=
282.439,282.4391,0.0012,100w,,,30 242.298349,-,65 637.75,4d95s2,2D,5/2,4d<sup>9</sup>5s(<sup>3</sup>D)5p,2F°,7/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3326&amp;comment_code=&amp;element=Ag&amp;spectr_charge=1&amp;ref=3326&amp;type=
292.677,,,10w,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3326&amp;comment_code=&amp;element=Ag&amp;spectr_charge=1&amp;ref=3326&amp;type=
293.842,293.840,0.003,20w,,,30 242.298349,-,64 264.5,4d95s2,2D,5/2,4d<sup>9</sup>5s(<sup>3</sup>D)5p,2F°,5/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3326&amp;comment_code=&amp;element=Ag&amp;spectr_charge=1&amp;ref=3326&amp;type=
309.910,309.9100,0.0010,20,,,34 714.22643,-,66 972.30,4d95s2,2D,3/2,4d<sup>9</sup>5s(<sup>3</sup>D)5p,2D°,5/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3326&amp;comment_code=&amp;element=Ag&amp;spectr_charge=1&amp;ref=3326&amp;type=
313.002,313.0007,0.0015,30w,,,30 242.298349,-,62 181.85,4d95s2,2D,5/2,4d<sup>9</sup>5s(<sup>3</sup>D)5p,4D°,5/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3326&amp;comment_code=&amp;element=Ag&amp;spectr_charge=1&amp;ref=3326&amp;type=
317.0579,317.0583,0.0005,10w,,,30 242.298349,-,61 773.12,4d95s2,2D,5/2,4d<sup>9</sup>5s(<sup>3</sup>D)5p,4D°,7/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3326&amp;comment_code=&amp;element=Ag&amp;spectr_charge=1&amp;ref=3326&amp;type=
321.567,321.564,0.021,15w,,,56 223.489,-,87 312.5,4d95s(3D)5p,4P°,5/2,4d<sup>9</sup>5s(<sup>3</sup>D)5d,4D,7/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3326&amp;comment_code=&amp;element=Ag&amp;spectr_charge=1&amp;ref=3326&amp;type=
322.515,322.506,0.021,10,,,56 223.489,-,87 221.7,4d95s(3D)5p,4P°,5/2,4d<sup>9</sup>5s(<sup>3</sup>D)5d,4P,5/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3326&amp;comment_code=&amp;element=Ag&amp;spectr_charge=1&amp;ref=3326&amp;type=
323.318,323.321,0.021,15,,,56 223.489,-,87 143.6,4d95s(3D)5p,4P°,5/2,4d<sup>9</sup>5s(<sup>3</sup>D)5d,2D,5/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3326&amp;comment_code=&amp;element=Ag&amp;spectr_charge=1&amp;ref=3326&amp;type=
328.0680,328.068430,0.000003,55000r,1.4e+08,B,0.000000,-,30 472.66516,4d105s,2S,1/2,4d<sup>10</sup>5p,2P°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=4515&amp;comment_code=&amp;element=Ag&amp;spectr_charge=1&amp;ref=4515&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=11755&amp;comment_code=&amp;element=Ag&amp;spectr_charge=1&amp;ref=11755&amp;type=
330.5675337,330.5675337,0.0000020,10w,,,0.000000,-,30 242.298349,4d105s,2S,1/2,4d<sup>9</sup>5s<sup>2</sup>,2D,5/2,E2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=9025&amp;comment_code=&amp;element=Ag&amp;spectr_charge=1&amp;ref=9025&amp;type=E2
338.2887,338.288781,0.000003,28000r,1.3e+08,B,0.000000,-,29 552.05741,4d105s,2S,1/2,4d<sup>10</sup>5p,2P°,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=4515&amp;comment_code=&amp;element=Ag&amp;spectr_charge=1&amp;ref=4515&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=11755&amp;comment_code=&amp;element=Ag&amp;spectr_charge=1&amp;ref=11755&amp;type=
340.378,340.380,0.023,10w,,,59 321.40,-,88 691.9,4d95s(3D)5p,4F°,5/2,4d<sup>9</sup>5s(<sup>3</sup>D)5d,2G,7/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3326&amp;comment_code=&amp;element=Ag&amp;spectr_charge=1&amp;ref=3326&amp;type=
346.916,346.9166,0.0012,30,,,34 714.22643,-,63 531.35,4d95s2,2D,3/2,4d<sup>9</sup>5s(<sup>3</sup>D)5p,2D°,3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3326&amp;comment_code=&amp;element=Ag&amp;spectr_charge=1&amp;ref=3326&amp;type=
350.1921,350.19220,0.00006,20,,,30 242.298349,-,58 789.879,4d95s2,2D,5/2,4d<sup>9</sup>5s(<sup>3</sup>D)5p,4F°,7/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=11755&amp;comment_code=&amp;element=Ag&amp;spectr_charge=1&amp;ref=11755&amp;type=
350.8025,350.80252,0.00009,20,,,29 552.05741,-,58 049.973,4d105p,2P°,1/2,4d<sup>10</sup>8d,2D,3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=11755&amp;comment_code=&amp;element=Ag&amp;spectr_charge=1&amp;ref=11755&amp;type=
351.3377,351.329,0.025,15w,,,58 902.05,-,87 357.3,4d95s(3D)5p,4F°,9/2,4d<sup>9</sup>5s(<sup>3</sup>D)5d,4F,9/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3326&amp;comment_code=&amp;element=Ag&amp;spectr_charge=1&amp;ref=3326&amp;type=
352.1123,352.11198,0.00020,10,,,30 472.66516,-,58 864.603,4d105p,2P°,3/2,4d<sup>10</sup>9d,2D,5/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=11755&amp;comment_code=&amp;element=Ag&amp;spectr_charge=1&amp;ref=11755&amp;type=
354.250,354.249,0.025,50,,,58 902.05,-,87 122.7?,4d95s(3D)5p,4F°,9/2,4d<sup>9</sup>5s(<sup>3</sup>D)5d,4G,11/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=2489&amp;comment_code=&amp;element=Ag&amp;spectr_charge=1&amp;ref=2489&amp;type=
354.716,354.711,0.025,10w,,,62 181.85,-,90 365.8,4d95s(3D)5p,4D°,5/2,4d<sup>9</sup>5s(<sup>3</sup>D)7s,4D,7/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3326&amp;comment_code=&amp;element=Ag&amp;spectr_charge=1&amp;ref=3326&amp;type=
355.701,355.692,0.025,10w,,,58 789.879,-,86 896.1,4d95s(3D)5p,4F°,7/2,4d<sup>9</sup>5s(<sup>3</sup>D)5d,2G,9/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3326&amp;comment_code=&amp;element=Ag&amp;spectr_charge=1&amp;ref=3326&amp;type=
358.6679,358.66751,0.00010,20,,,29 552.05741,-,57 425.078,4d105p,2P°,1/2,4d<sup>10</sup>9s,2S,1/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=11755&amp;comment_code=&amp;element=Ag&amp;spectr_charge=1&amp;ref=11755&amp;type=
362.336,362.336,0.026,10w,,,61 242.25,-,88 833.1,4d95s(3D)5p,4F°,3/2,4d<sup>9</sup>5s(<sup>3</sup>D)5d,2D,3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=2489&amp;comment_code=&amp;element=Ag&amp;spectr_charge=1&amp;ref=2489&amp;type=
362.4690,362.46873,0.00011,50,,,30 472.66516,-,58 053.388,4d105p,2P°,3/2,4d<sup>10</sup>8d,2D,5/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=11755&amp;comment_code=&amp;element=Ag&amp;spectr_charge=1&amp;ref=11755&amp;type=
368.2504,368.24948,0.00004,30,,,29 552.05741,-,56 699.832,4d105p,2P°,1/2,4d<sup>10</sup>7d,2D,3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=11755&amp;comment_code=&amp;element=Ag&amp;spectr_charge=1&amp;ref=11755&amp;type=
370.9192,370.91876,0.00011,50,,,30 472.66516,-,57 425.078,4d105p,2P°,3/2,4d<sup>10</sup>9s,2S,1/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=11755&amp;comment_code=&amp;element=Ag&amp;spectr_charge=1&amp;ref=11755&amp;type=
372.742,372.742,0.028,10w,,,61 773.12,-,88 593.7,4d95s(3D)5p,4D°,7/2,4d<sup>9</sup>5s(<sup>3</sup>D)5d,4G,9/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3326&amp;comment_code=&amp;element=Ag&amp;spectr_charge=1&amp;ref=3326&amp;type=
375.314,375.315,0.028,20w,,,62 181.85,-,88 818.6,4d95s(3D)5p,4D°,5/2,4d<sup>9</sup>5s(<sup>3</sup>D)5d,4F,7/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3326&amp;comment_code=&amp;element=Ag&amp;spectr_charge=1&amp;ref=3326&amp;type=
381.0941,381.09396,0.00003,200,,,30 472.66516,-,56 705.467,4d105p,2P°,3/2,4d<sup>10</sup>7d,2D,5/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=11755&amp;comment_code=&amp;element=Ag&amp;spectr_charge=1&amp;ref=11755&amp;type=
381.1773,381.17584,0.00004,50,,,30 472.66516,-,56 699.832,4d105p,2P°,3/2,4d<sup>10</sup>7d,2D,3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=11755&amp;comment_code=&amp;element=Ag&amp;spectr_charge=1&amp;ref=11755&amp;type=
384.0750,384.07514,0.00004,100,,,29 552.05741,-,55 581.246,4d105p,2P°,1/2,4d<sup>10</sup>8s,2S,1/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=11755&amp;comment_code=&amp;element=Ag&amp;spectr_charge=1&amp;ref=11755&amp;type=
384.7846,384.78470,0.00006,20,,,30 242.298349,-,56 223.489,4d95s2,2D,5/2,4d<sup>9</sup>5s(<sup>3</sup>D)5p,4P°,5/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=11755&amp;comment_code=&amp;element=Ag&amp;spectr_charge=1&amp;ref=11755&amp;type=
390.741,390.756,0.031,50w,,,61 773.12,-,87 357.3,4d95s(3D)5p,4D°,7/2,4d<sup>9</sup>5s(<sup>3</sup>D)5d,4F,9/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3326&amp;comment_code=&amp;element=Ag&amp;spectr_charge=1&amp;ref=3326&amp;type=
391.440,391.441,0.031,50w,,,61 773.12,-,87 312.5,4d95s(3D)5p,4D°,7/2,4d<sup>9</sup>5s(<sup>3</sup>D)5d,4D,7/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3326&amp;comment_code=&amp;element=Ag&amp;spectr_charge=1&amp;ref=3326&amp;type=
